trade_date,open,high,low,close,change,return,volume,volume_in_money
2016/3/3,5757.36,5872.92,5745.62,5776.98,23.83,0.41,1285273.6,13629862.25
2016/3/2,5464.73,5763.8,5462.74,5753.15,279.51,5.11,1106719.52,11796320.88
2016/3/1,5361.79,5504.75,5294.54,5473.64,123.2,2.3,808035.71,8722259.38
2016/2/29,5618.51,5618.51,5286.35,5350.43,-298.5,-5.28,867031.53,9337590.82
2016/2/26,5668.33,5701.05,5517.63,5648.94,22.89,0.41,798578.95,9175632.69
2016/2/25,6097.42,6097.54,5604.1,5626.05,-484.99,-7.94,1106686.53,12959708.44
2016/2/24,6041.75,6116.26,5975.14,6111.04,40.54,0.67,898195.79,11111413.38
2016/2/23,6102.51,6118.65,5982.21,6070.5,-33.22,-0.54,878748.76,10655679.14
2016/2/22,6055.68,6111.69,6029.46,6103.72,124.21,2.08,943205.2,11080160.96
2016/2/19,5939.7,6009.72,5919.68,5979.52,22.38,0.38,703804.99,8684911.6
2016/2/18,6009.75,6034.85,5945.2,5957.13,-14.28,-0.24,937147.98,11010973.45
2016/2/17,5889.5,5979.41,5854.22,5971.41,68.88,1.17,905825.2,10785700.81
2016/2/16,5694.75,5918.59,5694.75,5902.53,234.49,4.14,828771.43,9853490.48
2016/2/15,5485.72,5700.52,5482.8,5668.04,3.84,0.07,536312.53,6335130.32
2016/2/5,5734.48,5747.98,5662.44,5664.2,-57.29,-1,560755.45,6532196.9
2016/2/4,5631.32,5744.02,5631.32,5721.49,111.31,1.98,710839.82,8322621.64
2016/2/3,5520.64,5634.92,5482.23,5610.17,23.55,0.42,632807.26,7062492.06
2016/2/2,5407.71,5594.36,5407.67,5586.63,187.15,3.47,665719.62,7567418
2016/2/1,5458.61,5493.98,5319.7,5399.48,-69.65,-1.27,647161.14,7086333.29
2016/1/29,5262.46,5515.49,5248.22,5469.13,197.89,3.75,723590.91,7830371.06
2016/1/28,5441.74,5511.32,5257.08,5271.23,-242.96,-4.41,673380.76,7315273.93
2016/1/27,5604.17,5628.19,5240.65,5514.19,-75.12,-1.34,879241.18,9535493.18
2016/1/26,5966.71,5982.5,5573.83,5589.31,-452.02,-7.48,854439.17,9810409.6
2016/1/25,6034.08,6093.27,5976.34,6041.33,60.72,1.02,653085.14,7867768.32
2016/1/22,5954.36,6013.97,5799.71,5980.61,93.73,1.59,698307.09,8442936.91
2016/1/21,6031.17,6191.32,5886.88,5886.88,-251.62,-4.1,818827.65,10055530.35
2016/1/20,6161.23,6244.96,6095.72,6138.5,-58.59,-0.95,919475.18,11339450.66
2016/1/19,5965.36,6203.4,5956.23,6197.1,218.19,3.65,879810.15,10618550.03
2016/1/18,5768.76,6051.18,5765.15,5978.91,85.23,1.45,724697.89,8698031.37
2016/1/15,6078.62,6135.27,5852.24,5893.68,-231.14,-3.77,886305.39,10227730.74
2016/1/14,5734.61,6137.51,5726.88,6124.82,200.78,3.39,922514.46,10425512.58
2016/1/13,6168.99,6226.54,5924.04,5924.04,-212.62,-3.46,861234.02,9845670.29
2016/1/12,6126.67,6205.59,5994.64,6136.66,8.01,0.13,919052.2,10572719.97
2016/1/11,6435.89,6529.88,6128.22,6128.66,-441.78,-6.72,1156007.36,13311964.11
2016/1/8,6618.08,6689.14,6222.59,6570.43,108.19,1.67,1111296.05,13893400.02
2016/1/7,6937.42,6937.42,6454.97,6462.24,-603.36,-8.54,284267.42,3478154.48
2016/1/6,6916.53,7066.09,6878.65,7065.61,175.87,2.55,1009304.27,13635147.52
2016/1/5,6663.73,7020.54,6627.64,6889.74,-93.66,-1.34,1134282.25,15671729.86
2016/1/4,7615.51,7624.1,6983.29,6983.4,-634.29,-8.33,780149.99,11508902.95
2015/12/31,7745.64,7763.3,7617.39,7617.69,-123.36,-1.59,797815.23,13228691.58
2015/12/30,7693.02,7747.35,7664.28,7741.05,66.66,0.87,855332.32,13940726.42
2015/12/29,7591.71,7675.31,7545.35,7674.39,71.03,0.93,772925.3,12087394
2015/12/28,7815.38,7837.63,7603.36,7603.36,-188.76,-2.42,1098135.15,17049374.04
2015/12/25,7759.84,7805.05,7738.87,7792.12,39.09,0.5,812535.2,12880708.44
2015/12/24,7760.38,7778.94,7635.78,7753.04,-20.25,-0.26,915093.41,14133121.32
2015/12/23,7859.13,7881.3,7756.33,7773.28,-83.32,-1.06,1181663.09,18690447.09
2015/12/22,7811,7856.95,7752.7,7856.61,68.04,0.87,1115925.08,17582688.51
2015/12/21,7698.44,7798.09,7692.1,7788.56,89.19,1.16,1150150.03,18073041.03
2015/12/18,7708.34,7746.51,7650.56,7699.37,-16.88,-0.22,1144169.09,18399526.38
2015/12/17,7570.67,7716.48,7570.67,7716.25,186.84,2.48,1300547.65,19982057.45
2015/12/16,7522.73,7574.65,7503.09,7529.4,31.22,0.42,853511.69,13808261
2015/12/15,7448.71,7534.22,7447.11,7498.18,57.15,0.77,860214.9,13420782.43
2015/12/14,7224.81,7441.76,7210.41,7441.03,150.33,2.06,799572.88,11922886.23
2015/12/11,7320.16,7347.36,7253.84,7290.7,-59.51,-0.81,721322.87,11188042.6
2015/12/10,7374.36,7437.71,7332.98,7350.21,-24.06,-0.33,789904.24,12950662.29
2015/12/9,7369.11,7431.04,7322.87,7374.27,-29.87,-0.4,832999.91,13230127.16
2015/12/8,7555.46,7555.46,7398.56,7404.14,-198.09,-2.61,949388.23,14723004.06
2015/12/7,7526.22,7602.77,7476.19,7602.23,90.55,1.21,928812.96,14683035.36
2015/12/4,7533.61,7600.34,7464.28,7511.68,-58.83,-0.78,1013625.35,15487624.8
2015/12/3,7413.22,7571.45,7412.66,7570.51,164.65,2.22,953294.12,14296396.59
2015/12/2,7423.5,7444.22,7201.66,7405.86,-38.09,-0.51,1026474.75,14975764.01
2015/12/1,7403.94,7519.94,7358.37,7443.95,35.55,0.48,1130086.79,17343912.34
2015/11/30,7388.28,7467.47,7035.55,7408.4,32.28,0.44,1292340.23,19679952.2
2015/11/27,7839.31,7852,7317.65,7376.12,-497.96,-6.32,1529704.89,23434060.21
2015/11/26,7962.17,7974.74,7859.63,7874.08,-48.3,-0.61,1404046.15,22945232.15
